de;fr;it;en;carbohydrates, available;energy;fat;fatty saturated;fiber;proteins;salt;sodium;sugars
St. Paulin;St. Paulin;Formaggio St. Paulin;St. Paulin cheese;1;285;23;13,8;0;18;35;800;0
Stachelbeere, roh;Groseille à maquereau, crue;Uva spina, cruda;Gooseberry, raw;6;35;0;0;3,2;0,6;0,9;1;6,2
Stangensellerie, gedämpft (ohne Zugabe von Salz);Céleri branche, à la vapeur (sans adjonction de sel);Sedano verde, al vapore (senza aggiunta di sale);Celery, steamed (without addition of salt);2;20;0;0;2,1;1;1;100;1,6
Stangensellerie, roh;Céleri branche, cru;Sedano, crudo;Celery, raw;2;15;0;0;2;0,9;1;110;1,5
Steinpilz, gedünstet (ohne Zugabe von Fett und Salz);Bolet, à l'étuvée (sans adjonction de graisse ni de sel);Fungo porcino, stufato (senza aggiunta di grasso e sale);Edible boletus, stewed (without addition of fat and salt);1;40;1;0,1;7,3;4,4;4,2;6,4;0,1
Steinpilz, roh;Bolet, cru;Fungo porcino, crudo;Edible boletus, fresh;1;35;0;0,1;6;3,6;3,6;6;0,1
Surimi;Surimi;Surimi;Surimi;6;85;1;0;0;12,6;0;700;0
Taboulé, zubereitet (mit Bulgur);Taboulé, préparé (avec Boulgour);Taboulé, preparato (con Bulgur);Taboulé, prepared (with Bulgur);12;115;6;0,7;2,9;2,4;2,1;150;1,3
Taboulé, zubereitet (mit Couscous);Taboulé, préparé (avec Couscous);Taboulé, preparato (con Couscous);Taboulé, prepared (with Couscous);16;135;6;0,8;1,4;3;2;170;1,3
Tartarsauce, selbst zubereitet mit Rapsöl-Mayonnaise;Sauce tartare, préparée à la maison avec la mayonnaise de colza;Salsa tartar, fatta in casa con maionese di colza;Tartare sauce, home made with rapeseed mayonnaise;2;385;40;4;0,6;3,6;6,7;140;1,8
Tee, ungezuckert;Thé, non sucré;Té, non zuccherato;Tea, no sugar added;0;0;0;0;0;0;1;0;0
Teigwaren mit Ei, gekocht im Salzwasser (unjodiert);Pâtes alimentaires aux oeufs, cuites à l'eau salée (sel non iodé);Pasta all'uovo, cotta in acqua salata (sale non iodato);Pasta with egg, cooked in salted water (uniodised);26;140;1;0,1;1,3;5;1,4;340;1,4
Teigwaren mit Ei, trocken;Pâtes alimentaires aux oeufs, sèches;Pasta all'uovo, secca;Pasta with egg, dry;70;365;3;0,4;3,4;13,3;3,3;17;3,6
Teigwaren ohne Ei, gekocht im Salzwasser (unjodiert);Pâtes alimentaires sans oeufs, cuites à l'eau salée (sel non iodé);Pasta, cotta in acqua salata (sale non iodato);Pasta egg-free, cooked in salted water (uniodised);33;165;1;0,1;2,4;5,8;0,7;420;0,2
Teigwaren ohne Ei, trocken;Pâtes alimentaires sans oeufs, sèches;Pasta, secca;Pasta egg-free, dry;71;355;1;0,2;5,1;12,5;1;5;0,4
Teigwaren ohne Ei, Vollkorn, gekocht im Salzwasser (unjodiert);Pâtes alimentaires au blé complet, cuites à l'eau salée (sel non iodé);Pasta integrale, cotta in acqua salata (sale non iodato);Wholemeal pasta egg-free, cooked in salted water (uniodised);28;160;1;0,2;5,4;6,2;1,1;420;0,3
Teigwaren ohne Ei, Vollkorn, trocken;Pâtes alimentaires au blé complet, sèches;Pasta integrale, secca;Wholemeal pasta egg-free, dry;61;345;3;0,4;11,5;13,4;2;5;0,7
Teigwarenauflauf mit Schinken, zubereitet;Gratin de pâtes au jambon, préparé;Timballo di pasta con prosciutto, preparato;Pasta gratin with ham, prepared;15;170;7;3,4;1;10,4;11;470;1,4
Teigwarensalat mit französischer Sauce;Salade de pâte à la sauce française;Insalata di pasta con salsa francese;Pasta salad with French dressing;13;135;6;0,9;1,3;5,5;4,6;300;1
Teigwarensalat mit italienischer Sauce;Salade de pâte à la sauce italienne;Insalata di pasta con salsa italiana;Pasta salat with Italian dressing;13;135;6;1;1,3;5,4;4,4;280;1
Teilentrahmte Milch, pasteurisiert;Lait partiellement écrémé, pasteurisé;Latte parzialmente scremato, pastorizzato;Milk partially skimmed, pasteurized;5;60;3;1,6;0;3,2;6,3;39;4,7
Teilentrahmte Milch, UHT;Lait partiellement écrémé, UHT;Latte parzialmente scremato, UHT;Milk partially skimmed, UHT;5;60;3;1,7;0;3,4;8,5;38;4,6
Tessinerbrot;Pain tessinois;Pane ticinese;White bread from Ticino;57;325;5;0,7;2,9;10,3;1;670;0,6
Tête de Moine;Tête de Moine;Formaggio Tête de Moine;Tête de Moine;0;420;36;21,3;0;24,7;28;930;0
Thon im Öl, abgetropft;Thon à l'huile, égoutté;Tonno, sott'olio, sgocciolato;Tuna in oil, drained;0;190;8;1,5;0;27,6;43;350;0
Thon im Wasser, abgetropft;Thon au naturel, égoutté;Tonno, in salamoia, sgocciolato;Tuna in water, drained;0;120;2;0,5;0;25,6;0;420;0
Thonsalat an Essig-Öl-Sauce (aus Thon im Wasser);Salade de thon au naturel, sauce au vinaigre et huile;Insalata al tonno (di tonno in salamoia) con salsa aceto-olio;Tuna salad on oil-vinagre-dressing (made from tuna in water);7;110;5;0,7;1,1;9;0,3;330;3,2
Thunfisch, roh;Thon, cru;Tonno, crudo;Fish, tuna, raw;0;150;6;1,8;0;23,4;50;39;0
Thymian, roh;Thym, cru;Timo, fresco;Thyme, fresh;7;55;1;0,6;3;1,5;1;9;7,3
Tilsiter, pasteurisiert, vollfett;Tilsit au lait pasteurisé, gras;Formaggio Tilsiter di latte pastorizzato, grasso;Tilsiter, pasteurized milk, at least 45% fidm;0;355;28;16,8;0;24,6;7,2;550;0
Tilsiter, Rohmilch, vollfett;Tilsit au lait cru, gras;Formaggio Tilsiter di latte crudo, grasso;Tilsiter, raw milk, at least 45% fidm;0;380;30;18,1;0;26,1;7,9;690;0
Tirolercake;Cake tyrolien;Cake alla tirolese;Tyrolese cake;41;415;23;10,3;2,5;8,1;8,2;53;20,5
Toastbrot mit Butter;Pain de mie au beurre;Pane per toast al burro;Bread for toasting, white, made with butter;46;320;10;5,9;2,2;8,9;4,8;540;2,7
Toastbrot mit Pflanzenölen;Pain de mie à huile végétale;Pane per toast all'olio vegetale;Bread for toasting, white, made with vegetable oil;46;335;12;2;2,2;8,9;4,8;540;2,7
Tofu;Tofu;Tofu;Tofu;1;85;5;0,1;1,2;8,1;10;7;0
Tomate, gedünstet (ohne Zugabe von Fett und Salz);Tomate, à l'étuvée (sans adjonction de graisse ni de sel);Pomodoro, stufato (senza aggiunta di grasso e sale);Tomato, stewed (without addition of fat and salt);4;30;0;0;1,6;1;1,4;2,1;4,2
Tomate, geschält (Konserve);Tomate, pelée, conserve;Pomodoro, pelato, conserva;Tomato, peeled (pelati), canned;3;20;0;0;1;0,9;2;100;2,9
Tomate, roh;Tomate, crue;Pomodoro, crudo;Tomato, raw;3;25;0;0;1,2;0,8;1,1;1,6;3,2
Tomatenkuchen, gebacken (mit Blätterteig);Gateau aux tomates, cuit au four (pâte feuilletée);Torta ai pomodori, cotta nel forno (pasta sfoglia);Tomato quiche, baked (with puff pastry);10;160;11;6,2;1;3,5;5,5;140;2,6
Tomatenkuchen, gebacken (mit Kuchenteig);Gateu aux tomates, cuit au four (pâte à gateau);Torta ai pomodori, cotta nel forno (pasta per torta);Tomato quiche, baked (with cake dough);12;150;9;4,8;1,1;3,9;5,5;150;2,6
Tomatenpüree;Purée de tomate;Pomodoro, purea ;Tomato paste;13;80;0;0;2,8;4,5;4;240;12,4
Tomatensaft;Jus de tomate;Succo di pomodoro;Tomato juice;3;15;0;0;0,1;0,8;2;220;2,1
Tomatensauce;Sauce tomate;Salsa al pomodoro;Tomato sauce;10;70;2;0,5;1,9;1,8;1,6;540;4,1
Tomatensuppe;Soupe de tomate;Zuppa al pomodoro;Tomato soup;7;45;1;0,5;0,7;1;3;410;3,5
Tomme;Tomme;Tomino ;Tomme cheese;0;290;23;13,5;0;20,7;0;720;0
Traube, roh;Raisin, cru;Uva, cruda;Grape, fresh;15;70;0;0,1;1,5;0,7;1;2;15
Traubenkernöl;Huile de pépins de raisin;Olio di vinaccioli;Grape seed oil;0;810;90;9;0;0;0;0;0
Traubensaft;Jus de raisin;Succo d'uva;Grape juice;15;65;0;0;0;0,2;1;2;14,8
Traubenzucker;Sucre de raisin;Zucchero d'uva;Glucose;100;400;0;0;0;0;0;0;99,8
Trinkwasser (Mittelwert Schweiz);Eau potable (en moyenne en Suisse);Acqua di rubinetto (in medio in Svizzera);Drinking water (average Switzerland);0;0;0;0;0;0;0;1;0
Trockenfleisch;Viande séchée ( du Grison, du Tessin, du Valais);Carne secca (dei Grigioni, del Ticino o del Vallese);Dried meat (Hobel-, Bündner-, Walliser-, Tessiner- dried meat);0;190;4;1,6;0;39,3;0;1620;0,4
Truthahn, Brust, Schnitzel oder Geschnetzeltes, roh;Dinde, poitrine, escalope ou émincé, crue;Tacchino, petto, scaloppina o sminuzzato, crudo;Turkey, breast (schnitzel, ground), raw;0;110;1;0,3;0;24;1,5;63;0
Vacherin Mont d'Or;Vacherin Mont d'Or;Formaggio Vacherin Mont d'Or;Vacherin Mont d'or;0;280;23;13,9;0;17,6;20;690;0
Vanillecrème, gekocht;Crème à la vanille, cuite;Crema alla vaniglia, cotta;Vanille cream, cooked;24;140;4;2;0;3,2;7,6;31;23,8
Vinaigrette (mit Rapsöl);Vinaigrette (avec huile de colza);Vinaigrette (con olio di colza);Vinaigrette dressing (with rapeseed oil);2;260;25;2,6;0,5;4,4;11;120;1,9
Vitello tonnato mit Garnitur;Vitello tonnato avec garniture;Vitello tonnato con guarnizione;Vitello tonnato with garnish;1;180;11;2,5;0,2;19,2;13;250;0,6
Vitello tonnato ohne Garnitur;Vitello tonnato sans garniture;Vitello tonnato senza guarnizione;Vitello tonnato without garnish;1;210;13;2,9;0;23,2;13;280;0,3
Vollkornreiswaffel;Gallette de riz complet;Galletta di riso integrale;Wholemeal rice waffles;82;395;3;0,6;4,2;8,2;0;330;1,5
Vollmilch, pasteurisiert;Lait entier, pasteurisé;Latte intero, pastorizzato;Whole milk, pasteurized;5;70;4;2,4;0;3,3;10;39;4,7
Vollmilch, UHT;Lait entier, UHT;Latte intero, UHT;Whole milk, UHT;5;70;4;2,5;0;3,3;9,4;39;4,6
Vollmilchpulver;Lait entier en poudre;Latte intero, in polvere;Whole milk powder;35;480;26;15,7;0;24,7;27;370;35,1
Vollrahm, pasteurisiert;Crème entière, pasteurisée;Panna intera, pastorizzata;Cream, 35% fat, pasteurized;3;335;35;20,8;0;2;7;35;3,1
Vollrahm, UHT;Crème entière, UHT;Panna intera, UHT;Cream, 35% fat, UHT;3;335;35;20,8;0;2;6,1;25;3,1
Vorderschinken;Jambon cuit de devant;Prosciutto cotto di spalla;Pork, ham from shoulder, raw;0;110;3;1,2;0;18,6;3,6;870;0,4
Vorzugsbutter;Beurre de choix;Burro speciale;Butter of choice;1;750;82;49,4;0;0,7;8;10;0,6
Walliser Roggenbrot;Pain de seigle valaisan;Pane di segale vallesano;Rye bread from Valais;43;220;1;0,1;7;6,3;3,1;570;0,6
Wasabi Paste;Pâte wasabi;Pasta di wasabi;Wasabi Paste;50;310;11;;1,3;2,9;;2330;
Wassereis;Glace à l'eau;Ghiacciolo;Water ice;22;90;0;0;0;0;0;0;22
Wassermelone, roh;Pastèque, crue;Anguria, cruda;Watermelon, fresh;6;30;0;0;0,3;0,5;10;2;6,3
Weichkaramellen, Bonbons;Caramel mou;Caramella morbida;Soft caramel candies;71;450;17;10,1;0;2,1;0;320;71,1
Weichkäse (Durchschnitt ohne fettreduzierte Varianten);Fromage à pâte molle (en moyenne sans produits en matières grasses reduites);Formaggio a pasta molla (in media senza prodotti sgrassati);Soft cheese (average without fat reduced products);0;325;27;16,5;0;19,3;17;880;0
Weichkäse, Doppelrahm;Fromage à pâte molle, double crème;Formaggio morbido, doppia panna;Soft cheese, 60% fidm;0;365;35;21;0;12;20;700;0
Wein rot, 12 vol%;Vin rouge, 12 vol%;Vino rosso, 12 vol%;Wine red, 12 vol%;0;70;0;0;0;0,2;10;5;0,3
Wein rot, 13.5 vol%;Vin rouge, 13.5 vol%;Vino rosso, 13.5 vol%;Wine red, 13.5 vol%;0;80;0;;0;0;;;0,2
Wein rot, 9 vol%;Vin rouge, 9 vol%;Vino rosso, 9 vol%;Wine red, 9 vol%;0;55;0;0;0;0,2;10;5;0,2
Wein weiss, 11 vol%;Vin blanc, 11 vol%;Vino bianco, 11 vol%;Wine white, 11 vol%;2;70;0;0;0;0,1;10;5;2
Wein weiss, 12.5 vol%;Vin blanc, 12.5 vol%;Vino bianco 12.5 vol%;Wine white, 12.5 vol%;0;75;0;0;0;0,2;10;2;0,1
Wein weiss, gespritzt, sauer;Vin blanc dilué avec de l'eau gazeuse;Vino biancho diluito con acqua frizzante;Wine white, spritzer, sour;0;35;0;0;0;0,1;5;1,5;0
Wein weiss, gespritzt, süss;Vin blanc dilué avec limonade;Vino biancho diluito con limonata;Wine white, spritzer, sweet;5;55;0;0;0;0,1;5,9;2,5;4,8
Weissbrot;Pain blanc;Pane bianco;White bread;49;245;1;0,2;2,5;8,5;0,8;680;0,2
Weisskohl, gedämpft (ohne Zugabe von Salz);Chou blanc, à la vapeur (sans adjonction de sel);Cavolo bianco, al vapore (senza aggiunta di grasso e sale);White cabbage, steamed (without addition of salt);4;30;0;0;3;1,4;2,8;4,1;4,1
Weisskohl, gedünstet (ohne Zugabe von Fett und Salz);Chou blanc, à l'étuvée (sans adjonction de graisse ni de sel);Cavolo bianco, stufato (senza aggiunta di sale);White cabbage, stewed (without addition of fat and salt) ;5;35;0;0;3,2;1,5;3,1;4,5;4,4
Weisskohl, roh;Chou blanc, cru;Cavolo bianco, crudo;White cabbage, raw;4;30;0;0;3;1,4;3;4,8;4,1
Weisswurst;Saucisse blanche;Salsiccia bianca di carne di vitello;Weisswurst (veal sausage);1;205;18;6,8;0,2;9,8;4,6;6010;0,8
Weizen (Weichweizen), ganzes Korn;Blé tendre, grains entiers;Frumento (grano tenero), chicco intero ;Wheat, soft, whole grain;60;325;2;0,3;13,3;10,9;6,7;7,7;1,1
Weizenflocken, Vollkorn;Blé, flocons complets;Fiocchi di frumento, integrali;Wheat wolemeal flakes;61;330;2;0,3;10,3;11,7;2,7;8;0,7
Weizenkeime;Germe de blé;Germe di frumento;Wheat germ;33;355;10;1,5;15,9;25;0,2;9;13
Weizenkeimöl;Huile de germes de blé;Olio di germi di grano;Wheat germ oil;0;810;90;16,7;0;0;0;0;0
Weizenkleie;Son de blé;Crusca di frumento;Wheat bran, raw;18;265;5;0,7;45,1;14,9;3,1;2;3,8
Weizenmehl (Backmehl), Typ 550;Farine de blé (farine blanche), type 550;Farina di frumento (farina bianca) tipo 550;Wheat flour, bakery, type 550;70;345;1;0,3;3,2;12;0,8;2,1;0,3
Weizenmehl, halbweiss, Typ 720;Farine de blé (farine mi-blanche), type 720;Farina di frumento (farina semibianca) tipo 720;Wheat flour, semi white, type 720;66;340;2;0,2;5;13;1;2,7;0,5
Weizenmehl, Ruch, Typ 1100;Farine de blé (farine bise), type 1100;Farina di frumento (farina bigia) tipo 1100;Wheat flour, high ash, type 1100;65;340;2;0,3;5,7;13,5;1,5;1,7;0,6
Weizenmehl, Vollkorn, Typ 1700;Farine de blé, complète, type 1700;Farina di frumento (farina integrale) tipo 1700;Wheat flour, wholemeal, type 1700;61;340;2;0,3;11;13,5;2,5;17;1
Weizenmehl, weiss, Typ 400;Farine de blé (farine fleur), type 400;Farina di frumento (farina bianca) tipo 400;Wheat flour, white, type 400;71;350;1;0,3;3,2;11,5;0,6;1,5;0,3
Weizenotto, gekocht;Potée au blé, cuite;Granotto, cotto;Wheat risotto, cooked;28;175;3;0,4;6,2;5,1;3,5;440;1,7
Weizenstärke;Amidon de blé ;Amido di frumento;Wheat starch;86;350;0;0;1,2;0,4;0;2;0
Weizenvollkornbrot;Pain complet de froment;Pane integrale di grano;Wholewheat bread;38;215;1;0,2;6,9;8,6;1,9;580;0,7
Wermut, 15 vol%;Vermouth, 15 vol% (p.e. Martini);Vermut, 15 vol%;Vermouth, 15 vol%;14;140;0;0;0;0,1;0;20;13,5
Wienerli;Saucisse de Vienne;Salsiccia viennese;Wienerli (Swiss sausage);1;245;20;7,8;0;13,9;;870;0,6
Wienerli, gekocht;Saucisse de Vienne, cuit;Salsiccia viennese, cotta;Wienerli (Swiss sausage), cooked;1;235;20;7,6;0;13,5;;720;0,6
Wildfleisch (Durchschnitt), roh;Gibier (moyenne), cru;Selvaggina (in media), cruda ;Game meat (average), raw;0;115;3;1,5;0;21,1;1,2;70;0
Wildfleischterrine;Terrine de gibier;Terrina di cacciagione;Terrine, game meat;2;290;23;9,1;0,2;17,3;3,5;870;1,6
Wildschwein (Durchschnitt), roh;Sanglier (moyenne), cru;Cinghiale (in media), crudo;Wild boar, raw;0;110;3;1,5;0;19,5;6;94;0
Wirz, gedämpft (ohne Zugabe von Salz);Chou frisé, à la vapeur (sans adjonction de sel);Verza, stufata (senza aggiunta di sale);Savoy cabbage, steamed (without addition of salt);3;35;0;0;2,6;2,8;2,5;7,5;2,8
Wirz, roh;Chou frisé, cru;Verza, crudo;Savoy cabbage, raw;3;35;0;0;2,6;2,8;2,6;8,7;2,8
Wurst-Käse-Salat, zubereitet;Salade de cervelas et fromage, préparée;Insalata di cervelat e formaggio, preparata;Cheese and sausage salad, prepared;1;265;23;9,4;0,2;13,9;5,6;560;0,6
Wurstsalat, zubereitet;Salade de cervelas, préparée;Insalata di cervelat, preparata;Sausage salad, prepared;2;230;21;5,5;0,4;7,1;0,1;650;1,2
Wurzel- und Knollengemüse (Durchschnitt), gedämpft (ohne Zugabe von Salz);Légumes racines et tubercules (moyenne), à la vapeur (sans adjonction de sel);Verdura, tuberi e radici (in media), stufata (senza aggiunta di sale);Root and tuber vegetables (average), steamed (without addition of salt);7;40;0;0;3,1;1,1;1,6;34;6,4
Wurzel- und Knollengemüse (Durchschnitt), gedünstet (ohne Zugabe von Fett und Salz);Légumes racines et tubercules (moyenne), à l'étuvée (sans adjonctions de graisse ni de sel);Verdura, tuberi e radici (in media), cotta (senza aggiunta di grasso e sale);Root and tuber vegetables (average), stewed (without addition of fat and salt);6;35;0;0;2,7;1;1,5;37;5,6
Wurzel- und Knollengemüse (Durchschnitt), gekocht (ohne Zugabe von Fett und Salz);Légumes racines et tubercules (moyenne), cuites (sans adjonction de graisse ni de sel);Verdura, tuberi e radici (in media), bollita (senza aggiunta di grasso e sale);Root and tuber vegetables (average), boiled (without addition of fat and salt);6;40;0;0;2,9;1;1,5;22;6,1
Wurzel- und Knollengemüse (Durchschnitt), roh;Légumes racines et tubercules (moyenne), crues;Verdura, tuberi e radici (in media), cruda;Root and tuber vegetables (average), raw;6;40;0;0;2,8;1;1,6;38;5,8
Zampone;Zampone;Zampone;Zampone;0;365;32;10,4;0;19,1;0;1380;0
Ziege (Durchschnitt), roh;Chèvre (moyenne), crue;Capra (in media), cruda;Goat (average), raw;0;150;8;3,6;0;19,5;1;50;0
Ziegenmilch;Lait de chèvre;Latte di capra;Goat milk;4;70;4;2,6;0;3,4;4,6;40;4,4
Ziger weiss;Sérac;Ziger;Ziger white;3;125;7;4,3;0;11,1;0;33;3,3
Zimtstern;Etoiles à la cannelle;Stelle alla cannella;Cinnamon cookie, star-shaped;49;485;25;1,9;6,8;11,9;2;44;49
Zitrone, roh;Citron, cru;Limone, crudo;Lemon, fresh;3;25;0;0;2;0,8;1,5;4;2,5
Zitronensaft;Jus de citron;Succo di limone;Lemon juice;6;30;0;0;0,4;0,4;0,6;21;6,1
Zitrusfrüchte (Durchschnitt), roh;Agrume (moyenne), crue;Agrumi (in media), crudi;Citrus fruits (average), raw;8;45;0;0;1,6;0,8;1;3,3;8,3
Zucchetti-Piccata, zubereitet;Piccata de courges, préparée;Piccata di zucchina, preparata;Zucchini piccata, prepared;6;155;11;4,3;1;5,4;9,2;250;2
Zucchetti, gedünstet (ohne Zugabe von Fett und Salz);Courgette, à la vapeur (sans sel ni graisse);Zucchina, al vapore (senza aggiunta di di grasos e sale);Zucchini, stewed (without addition of fat and salt);3;25;0;0;1,3;2,4;3;4;2,5
Zucchetti, roh;Courgette, crue;Zucchina, cruda;Zucchini, raw;2;20;0;0;1;1,8;2,3;3;1,9
Zucchettischeiben, paniert, zubereitet;Tranches de courgette, panées, préparées;Fette di zucchina, impanate, preparate;Zucchini slices, breaded, prepared;13;130;6;0,6;1,5;5,2;6,5;270;2,1
Zucker, braun;Sucre, roux, complet;Zucchero bruno;Sugar, brown;98;390;0;0;0;0;0;40;97,6
Zucker, weiss;Sucre, blanc;Zucchero bianco ;Sugar, white;100;400;0;0;0;0;0;0;100
Zuckerhutsalat, roh;Chicorée pain de sucre, crue;Cicoria bianca di Milano, cruda;Sugar loaf chicory, raw;2;20;0;0;1,6;1,2;3,3;10;1,5
Zuckermais (Konserve);Maïs doux, conserve;Granoturco dolce, conserva;Sweet corn canned;18;100;1;0,2;2,3;3;0;300;6,9
Zuckermais (Konserve), aufgewärmt (ohne Zugabe von Salz);Maïs doux  (conserve), réchauffé (sans adjonction de sel);Granoturco dolce, conserva, riscaldato (senza aggiunta di sale);Sweet corn (canned), heated (without addition of salt);19;110;1;0,2;2,4;3,2;0;270;7,3
Zuger Kirschtorte;Tourte au Kirsch de Zug;Torta al Kirsch di Zugo;Cherry pie from Zug;35;335;19;8,5;1,5;4,8;4,2;62;27
Zunge (Durchschnitt aus Kalb und Rind), roh;Langue (moyenne de veau et boeuf), crue;Lingua (media di vitello e manzo), cruda;Tongue (average of veal and beef), raw;3;190;12;4,4;0;16,6;2,3;83;0
Zwetschge, gedünstet, abgetropft (ohne Zugabe von Zucker);Quetsche, cuite, égoutée (sans adjonction de sucre);Prugne, cotte, sgocciolate (senza aggiunta di zucchero);Prune plum, stewed, drained (without addition of sugar);11;55;0;0;2,8;0,7;0,1;2,5;10,9
Zwetschge, roh;Quetsche, crue;Prugne susine, crude;Prune plum, fresh;9;45;0;0;2,3;0,6;0,1;2;8,8
Zwetschgenkuchen, gebacken (mit Blätterteig);Tarte aux quetsches, cuite au four (pâte feuilletée);Torta di prugna susina, cotta nel forno (pasta sfoglia);Prune plum pie, baked (with puff pastry);15;135;7;3,8;1,8;2,5;2,6;93;7,7
Zwetschgenkuchen, gebacken (mit Kuchenteig);Tarte aux quetsches, cuite au four (pâte à gateau);Torta di prugna susina, cotta nel forno (pasta per torta);Prune plum pie, baked (with cake dough);17;125;5;2,6;2;2,9;2,6;100;7,7
Zwieback;Biscottes;Fette biscottate;Rusk;70;430;10;4,9;2,6;14,7;49;800;14,4
Zwieback, Vollkorn;Biscottes complètes;Fette biscottate integrali;Rusk wholemeal;61;415;9;4;7,8;17,7;51;740;13,9
Zwiebel, gedünstet (ohne Zugabe von Fett und Salz);Oignon, à l'étuvée (sans adjonction de graisse ni de sel);Cipolla, stufata (senza aggiunta di grasso e sale);Onion, stewed (without addition of fat and salt);8;50;0;0;2,2;1,6;2,1;3,6;8,4
Zwiebel, geröstet (ohne Zugabe von Fett und Salz);Oignon, grillés (sans adjonction de graisse ni de sel);Cipolla, arrostita (senza aggiunta di grasso e sale);Onion, roasted, brown (without addition of fat and salt);17;95;1;0;4,3;3,1;4,3;9;16,7
Zwiebel, roh;Oignon, cru;Cipolla, cruda;Onion, raw;7;40;0;0;1,8;1,3;1,8;3,8;7
Zwiebelkuchen, gebacken (mit Blätterteig);Gateau aux oignons, cuit au four (pâte feuilletée);Torta alle cipolle, cotta nel forno (pasta sfoglia);Onion quiche, baked (with puff pastry);13;180;12;6,2;1,5;4,6;4,1;380;5,1
Zwiebelkuchen, gebacken (mit Kuchenteig);Gateau aux oignons, cuit au four (pâte à gateau);Torta alle cipolle, cotta nel forno (pasta per torta);Onion quiche, baked (with cake dough);15;175;10;5;1,6;5;4,1;390;5,1
