de;fr;it;en;carbohydrates, available;energy;fat;fatty saturated;fiber;proteins;salt;sodium;sugars;imageUrl
Hüttenkäse, nature;Cottage cheese (fromage frais granulé), nature;Formaggio fresco granulato, al naturale;Cottage cheese;2;105;5;2,7;0;12,7;20;320;2,2;https://upload.wikimedia.org/wikipedia/commons/8/82/Cottage_Cheese_homemade.jpg
Instant-Kartoffelstock, zubereitet (mit Wasser und Butter);Purée de pommes de terre, préparée (avec de l'eau et du beurre);Purea di patate, preparata (con acqua e burro);Mashed potatoes, instant, prepared (with water and butter);12;85;3;1,6;0,8;2;1,2;220;1,8;https://upload.wikimedia.org/wikipedia/commons/4/47/Russet_potato_cultivar_with_sprouts.jpg
Jägersauce;Sauce chasseur;Salsa alla cacciatora;Huntsman sauce;8;60;2;0,5;0,5;2,2;4;620;2,5;https://upload.wikimedia.org/wikipedia/commons/f/f5/J%C3%A4gerschnitzel_-_Hunter%27s_schnitzel.jpg
Joghurt-Salatsauce (ohne Öl);Sauce de salade au yogourt (sans huile);Salsa per insalate con yogurt (senza olio);Yogurt dressing (without oil);6;70;3;2;0,1;3,7;15;220;5,7;https://upload.wikimedia.org/wikipedia/commons/3/3e/Suman_with_latik.jpg
Joghurt Bifidus, nature;Yogourt bifidus, nature;Yogurt bifidus, naturale;Yogurt Bifidus, plain;5;50;4;2,2;0;4,1;7,5;45;4,5;https://upload.wikimedia.org/wikipedia/commons/a/aa/Campylobacter_jejuni.jpg
Joghurt gezuckert (Durchschnitt);Yaourt sucré (moyenne);Yogurt zuccherato (in media);Yoghurt with added sugar (average);15;105;3;1,7;0,4;3,8;6,1;44;13,8;https://c1.staticflickr.com/6/5262/5725049329_835c329013_b.jpg
Joghurt mit Aroma, mager, mit Süssstoffen;Yogourt maigre avec arômes, édulcoré;Yogurt con aromi, magro con edulcoranti;Yogurt flavored, low fat, with sweetener;7;50;0;0,1;0;4,7;6;45;7;https://media.defense.gov/2011/Mar/10/2000278395/-1/-1/0/110310-F-TB066-003.JPG
Joghurt mit Früchten, mager, mit Süssstoffen;Yogourt maigre aux fruits, édulcoré;Yogurt alla frutta, magro con edulcoranti;Yogurt with fruit, low fat, with sweetener;7;50;0;0,1;0,9;4,7;6;45;7;https://media.defense.gov/2008/Feb/27/2000651286/-1/-1/0/080226-F-0136B-002.JPG
Joghurt, Erdbeer;Yogourt aux fraises;Yogurt, alla fragola;Yogurt, strawberry;15;105;3;1,6;0,9;3,5;5,5;42;14,3;https://upload.wikimedia.org/wikipedia/commons/0/01/KS_California_strawberry_yogurt.JPG
Joghurt, Haselnuss;Yogourt aux noisettes;Yogurt, alle nocciole;Yogurt, hazelnut;15;120;5;2,5;0,9;3,9;6,5;46;14;https://c1.staticflickr.com/6/5774/31127560825_fcbfec72f5_b.jpg
Joghurt, Mokka;Yogourt au café;Yogurt, al caffè;Yogurt, mocca;14;100;3;1,9;0;3,8;6;42;13,2;https://c1.staticflickr.com/8/7174/6661940147_f324d20e1f_b.jpg
Joghurt, Mokka, Bio;Yogourt au café, bio;Yogurt, al caffè bio;Yogurt, mocca, organic;13;100;3;;0;3,5;6;42;12,4;
Joghurt, nature;Yogourt, nature;Yogurt, naturale;Yogurt natural;5;70;4;2,2;0;4;16;49;4,5;https://c1.staticflickr.com/5/4105/5449189592_12d5f124d2_b.jpg
Joghurt, nature, mager;Yogourt, nature, maigre;Yogurt, naturale magro;Yogurt, low fat;6;40;0;0,1;0;4,3;9,5;60;5,5;https://c1.staticflickr.com/9/8569/16194897400_c891423438_b.jpg
Joghurt, Schokolade;Yogourt au chocolat;Yogurt, al cioccolato;Yogurt, chocolate;17;120;4;2,4;0,8;4;6;44;15,5;https://c1.staticflickr.com/6/5777/31060773030_c45bcfe325_b.jpg
Joghurt, Vanille;Yogourt à la vanille;Yogurt, alla vaniglia;Yogurt, vanilla;14;100;3;1,8;0;3,8;6,5;45;13,1;https://cdn.pixabay.com/photo/2016/06/07/17/15/yogurt-1442033_960_720.jpg
Johannisbeere, rot, roh;Groseille rouge, crue;Ribes rosso, crudo;Currant, red, raw;5;45;1;0;8,2;1,1;1;3;5;http://maxpixel.freegreatpicture.com/static/photo/1x/Food-Raw-Berries-Table-Fruits-1839940.jpg
Johannisbeere, schwarz, roh;Cassis, cru;Ribes nero, crudo;Currant, black, raw;9;60;0;0;7;1,3;1;3;9;http://maxpixel.freegreatpicture.com/static/photo/1x/Ripe-Jimsonweed-Berries-Jimsonweed-Plant-Berries-1601412.jpg
Johannisbeerkuchen, gebacken (mit Blätterteig);Tarte aux groseilles, cuite au four (pâtes feuilletée);Torta di ribes, cotta nel forno (pasta sfoglia);Red currant pie, baked (with puff pastry);12;135;7;3,8;5,8;2,8;3,2;94;5,1;http://maxpixel.freegreatpicture.com/static/photo/1x/Cream-Puffs-Delicious-France-Confectionery-Food-427181.jpg
Johannisbeerkuchen, gebacken (mit Kuchenteig);Tarte aux groseilles, cuite au four (pâte à gateau);Torta di ribes, cotta nel forno (pasta per torta);Red currant pie, baked (with cake dough);14;130;5;2,6;5,9;3,2;3,2;100;5,1;http://maxpixel.freegreatpicture.com/static/photo/1x/Cooking-Summer-Scone-Baking-Homemade-Currants-1284386.jpg
Johannisbeerkuchen, gebacken (mit süssem Mürbeteig);Tarte aux groseilles, cuite au four (pâte brisée sucrée);Torta di ribes, cotta nel forno (pasta frolla dolce);Red currant pie, baked (with sweet short pastry base);18;200;11;6,4;5,3;3,3;2,7;92;7,7;https://upload.wikimedia.org/wikipedia/commons/c/cf/Bakewell_tart_on_a_plate.jpg
Kaffee löslich, Pulver;Café instantané, poudre;Caffè solubile, polvere;Coffee, instant, powder;43;255;0;0;19,1;11,2;20;58;3,6;https://upload.wikimedia.org/wikipedia/commons/2/26/Instant_coffee.jpg
Kaffee, schwarz, ungezuckert;Café, noir, non sucré;Caffè, nero, non zuccherato;Coffee, black, no sugar added;0;5;0;0;0,1;0,1;0,1;1,3;0;https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Black_Coffee_for_Breakfast_in_White_Porcelain_Cup.jpg/1020px-Black_Coffee_for_Breakfast_in_White_Porcelain_Cup.jpg
Kaffeerahm;Crème à café UHT;Panna da caffè UHT;Coffee cream UHT;4;165;15;9;0;2,7;11;77;3,8;https://cdn.pixabay.com/photo/2015/04/01/20/05/cookies-702931_960_720.jpg
Kakaopulver;Cacao en poudre;Cacao in polvere;Cocoa powder;11;410;25;14,4;32,7;19,8;2,8;17;2,2;https://upload.wikimedia.org/wikipedia/commons/d/d4/Cocoa-powder-1883108.jpg
Kaki, roh;Kaki, cru;Cachi, crudo;Kaki, raw;15;75;0;0;2,5;0,7;1;2;15,3;http://maxpixel.freegreatpicture.com/static/photo/1x/Fruit-Khaki-Diospyros-Kaki-Abenaceas-Persimmons-240054.jpg
Kalb, Brust, gekocht (ohne Zugabe von Fett und Salz);Veau, poitrine, cuite (sans adjonction de graisse ni de sel);Vitello, petto, cotto (senza aggiunta di grassi e sale);Veal, breast, cooked (without addition of fat and salt);0;295;21;8,9;0;26,1;2,7;41;0;https://upload.wikimedia.org/wikipedia/commons/a/a3/Thanksgiving_Turkey.jpg
Kalb, Brust, roh;Veau, poitrine, crue;Vitello, petto, crudo;Veal, breast, raw;0;205;15;6,2;0;18,3;1,9;64;0;https://upload.wikimedia.org/wikipedia/commons/1/1e/Kycklingfil%C3%A9.jpg
Kalb, Eckstück, roh;Veau, noix, escalope, crue;Vitello, scaloppina, cruda;Veal, round, schnitzel, raw;0;105;2;0,4;0;22,2;0,1;64;0;https://upload.wikimedia.org/wikipedia/commons/d/de/Sausages_of_Csabai.JPG
Kalb, Filet, roh;Veau, filet, cru;Vitello, filetto, crudo;Veal, filet, raw;0;120;4;1,3;0;21,2;0,1;91;0;https://upload.wikimedia.org/wikipedia/commons/2/24/StripSteak.jpg
Kalb, Gehacktes, roh;Veau, haché, cru;Vitello, macinato, crudo;Veal, minced, raw;0;105;2;1,2;0;20,5;1,9;57;0;https://cdn.pixabay.com/photo/2016/10/25/15/39/meat-1769187_960_720.jpg
Kalb, Geschnetzeltes, roh;Veau, émincé, cru;Vitello, sminuzzato, crudo;Veal, chopped, raw;0;100;1;0,5;0;22;1,9;51;0;https://c1.staticflickr.com/4/3434/5829527553_ceed478456_b.jpg
Kalb, Haxe, roh;Veau, jarret, cru;Vitello, geretto crudo;Veal, knuckle, raw;0;125;4;1,4;0;20,7;0,1;62;0;http://maxpixel.freegreatpicture.com/static/photo/1x/Uncooked-Meat-Veal-Haxe-Raw-Steakes-Veal-Shank-74307.jpg
Kalb, Kotelett, roh;Veau, côtelette, crue;Vitello, costoletta, cruda;Veal, chop, raw;0;165;9;3,6;0;20,7;0,1;51;0;https://c1.staticflickr.com/4/3434/5829527553_ceed478456_b.jpg
Kalb, Leber, roh;Veau, foie, cru;Vitello, fegato, crudo;Veal, liver, raw;5;135;4;1,3;0;19,6;4,3;68;0;https://upload.wikimedia.org/wikipedia/commons/3/3a/Calf%27s_liver%2C_bacon_and_mash_at_Staplefield%2C_West_Sussex%2C_England_1.jpg
Kalb, Milken, roh;Veau, ris, cru;Vitello, animella, cruda;Veal, sweetbread, raw;0;100;3;1,3;0;17,2;4;83;0;https://upload.wikimedia.org/wikipedia/commons/5/50/Svi%C3%B0.jpg
Kalb, Niere, roh;Veau, rognon, cru;Rognone di vitello, crudo;Veal, kidney, raw;1;115;5;2,2;0;15,8;4,2;180;0;https://upload.wikimedia.org/wikipedia/commons/5/50/Svi%C3%B0.jpg
Kalb, Nierstück, Steak, roh;Veau, filet, steak, cru;Vitello, bistecca, cruda;Veal, filet, steak, raw;0;115;2;1,1;0;22,8;3,5;44;0;https://upload.wikimedia.org/wikipedia/commons/2/24/StripSteak.jpg
Kalb, Runder Mocken, roh;Veau, pièce ronde, tranche, cru;Vitello, girello, cruda;Veal, eye of round, raw;0;105;2;0,8;0;21,9;1,8;43;0;https://upload.wikimedia.org/wikipedia/commons/9/9e/Beef_round_top_round_steak_in_pan%2C_raw.jpg
Kalb, Schulter, Braten, im Ofen gebraten (ohne Zugabe von Fett und Salz);Veau, épaule, rôti, cuit au four (sans adjonction de graisse ni de sel);Vitello, arrosto di spalla, cotto al forno (senza aggiunta di grassi e sale);Veal, shoulder, roast in oven (without addition of fat and salt);0;185;7;2,1;0;30,1;0,1;120;0;https://upload.wikimedia.org/wikipedia/en/0/0b/Hickory_smoked_barbecue_bacon.jpg
Kalb, Schulter, Braten, roh;Veau, épaule, rôti, crue;Vitello, spalla, arrosto, crudo;Veal, shoulder, roast, raw;0;125;5;1,4;0;20,2;0,1;91;0;http://maxpixel.freegreatpicture.com/static/photo/1x/Uncooked-Meat-Veal-Haxe-Raw-Steakes-Veal-Shank-74307.jpg
Kalb, Voressen, roh;Veau, ragoût, cru;Vitello, spezzatino, crudo;Veal, ragout, raw;0;105;2;1,1;0;20;0,8;57;0;https://upload.wikimedia.org/wikipedia/commons/3/34/Pastrami_sandwich.jpg
Kalb, Zunge, roh;Veau, langue, crue;Vitello, lingua, cruda;Veal, tongue, raw;2;185;12;4,2;0;17,2;2,3;86;0;https://upload.wikimedia.org/wikipedia/commons/2/28/Strip-steak-MCB-MaggieO.jpg
Kalbfleisch (Durchschnitt exkl. Innereien, Kotelett), roh;Viande de veau (moyenne sans abats ni côtelette), crue;Carne di vitello (in media, escluse le interiora e la cotoletta), cruda;Veal (average excluding offal, chop), raw;0;130;5;1,9;0;21,1;1,2;66;0;https://upload.wikimedia.org/wikipedia/commons/5/50/Svi%C3%B0.jpg
Kalbsbratwurst;Saucisse de veau;Salsiccia di vitello ;Sausage, veal;1;230;19;7,9;0;12,5;;760;1,2;https://upload.wikimedia.org/wikipedia/commons/9/94/DSC04407_Wiener_veal_sausage.JPG
Kalbspiccata, zubereitet;Piccata de veau, préparée;Piccata di vitello, preparata;Veal piccata, prepared;6;225;12;3;0,3;23,3;12;340;0,1;https://c1.staticflickr.com/4/3654/3404124611_18cc6acf17_b.jpg
Kalbsplätzli, gebraten in HOLL-Rapsöl;Escalope de veau, grillée au colza HOLL;Scaloppina di vitello, cotta in olio di colza HOLL;Veal schnitzel, pan fried in rapeseed oil HOLL;0;200;9;1;0;28,2;0,3;390;0;https://upload.wikimedia.org/wikipedia/commons/7/70/Armeniadoma.jpg
Kalbsragout mit Sauce, zubereitet;Ragoût de veau avec sauce, préparé;Ragù di vitello con salsa, preparato;Veal ragout with gravy, prepared;3;95;4;0,8;0,6;11,6;1;300;1,5;https://upload.wikimedia.org/wikipedia/commons/0/02/Sunday_roast_-_roast_beef_1.jpg
Kalmar, roh;Calamar, cru;Calamaro, crudo;Squid, raw;2;85;1;0,2;0;16;20;160;0;https://cdn.pixabay.com/photo/2016/06/01/10/21/food-1428735_960_720.jpg
Kaninchen (Durchschnitt), roh;Lapin (moyenne), cru;Coniglio (in media), crudo ;Hare, meat, raw;0;150;8;2,5;0;20,5;0,6;45;0;http://maxpixel.freegreatpicture.com/static/photo/1x/Nager-Rabbit-Easter-Bunny-Raw-Meat-Hare-Raw-734080.jpg
Kaninchen, Filet, roh;Lapin, filet, cru;Coniglio, filetto, crudo;Hare, filet, raw;0;115;2;0,5;0;24,3;4,1;33;0;https://upload.wikimedia.org/wikipedia/commons/8/8c/T%C3%B8rrfesk.jpg
Karotte, gedämpft (ohne Zugabe von Salz);Carotte, à la vapeur (sans adjonction de sel);Carota, al vapore (senza aggiunta di sale);Carrot, steamed (without addition of salt);7;45;0;0;2,9;0,9;1,7;25;7,1;http://maxpixel.freegreatpicture.com/static/photo/1x/Vegetables-Steamed-Beans-Green-Steam-Broccoli-1269716.jpg
Karotte, roh;Carotte, crue;Carota, cruda;Carrot, raw;7;40;0;0;2,6;0,8;1,6;28;6,4;https://cdn.pixabay.com/photo/2015/11/07/11/40/carrot-1031389_960_720.jpg
Karottensaft;Jus de carotte;Succo di carota;Carrot juice;7;35;0;0;0,9;0,7;15;35;4,8;http://www.publicdomainpictures.net/pictures/180000/velka/a-glass-of-carrot-juice-and-carrot.jpg
Kartoffel, geschält, gedämpft (ohne Zugabe von Salz);Pomme de terre, épluchée, à la vapeur (sans adjonction de sel);Patate, pelate, al vapore (senza aggiunta di sale);Potatoe, peeled, steamed (without addition of salt);16;80;0;0;2,1;2;3,9;2,8;0,7;https://upload.wikimedia.org/wikipedia/commons/4/47/Russet_potato_cultivar_with_sprouts.jpg
Kartoffel, geschält, roh;Pomme de terre, épluchée, crue;Patate, pelate, crude;Potato, peeled, raw;16;80;0;0;2,1;2;4;3;0,7;http://www.publicdomainpictures.net/pictures/190000/velka/peeled-potatoes-14734341094IG.jpg
Kartoffelflocken, mit Milchpulver und Salz (Instant-Kartoffelstock);Flocons de pomme de terre, avec poudre de lait et sel (purée instantanée);Fiocchi di patate, in polvere con latte e sale (purea istantanea);Potato flakes, with milk powder and salt (instant mashed potatoes);66;370;5;3,1;4,7;11,3;6;1260;10,3;https://upload.wikimedia.org/wikipedia/commons/4/47/Russet_potato_cultivar_with_sprouts.jpg
Kartoffelgratin dauphinois, zubereitet;Gratin de pommes de terre dauphinois, préparé;"Patate al gratin ""dauphinois"", preparate";"Potatoes au gratin ""dauphinois"", prepared";11;130;8;4,6;1,3;2,6;6,4;130;2,4;https://upload.wikimedia.org/wikipedia/commons/5/50/Boerenkool_met_worst.jpg
Kartoffelgratin Savoyer Art, zubereitet;Gratin de pommes de terre savoyard, préparé;"Patate al gratin ""savoyard"", preparate";"Potatoes au gratin ""savoyard"", prepared";11;75;2;1,3;1,4;2,2;5;150;0,5;
Kartoffelsalat mit Essig-Öl-Sauce;Salade de pommes de terre, sauce au vinaigre et huile;Insalata di patate con salsa aceto-olio;Potato salad with oil and vinagre dressing;13;100;4;0,3;1,7;1,7;3,6;61;0,6;https://cdn.pixabay.com/photo/2015/10/02/15/59/olive-oil-968657_960_720.jpg
Kartoffelsalat mit Mayonnaise-Joghurt-Sauce;Salade de pommes de terre (sauce mayonnaise et yogourt);Insalata di patate (salsa di maionese e yogurt);Potato salad with mayonnaise yogurt dressing;13;85;2;0,4;1,6;1,8;4,1;70;0,7;https://upload.wikimedia.org/wikipedia/commons/f/fe/Huzarenslaatje.jpg
Kartoffelstärke;Fécule de pommes de terre;Fecola di patate;Potato starch;83;340;0;0;0,1;0,6;1;8;0;https://upload.wikimedia.org/wikipedia/commons/0/0d/Potato_flour2.jpg
Kartoffelstock, zubereitet (mit Rahm und Butter);Purée de pommes de terre, préparée (avec de la crème et du beurre);Purea di patate, preparata (con panna e burro);Mashed potatoes, prepared (with cream and butter);13;140;8;5;1,7;2;4,2;55;1,1;https://upload.wikimedia.org/wikipedia/commons/9/9c/Cream_to_get_clarified_butter_home_made.Ghee.jpg
Kartoffelstock, zubereitet (mit teilentrahmter Milch und Butter);Purée de pommes de terre, préparée (avec du lait partiellement écrémeé et du beurre);Purea di patate, preparata (con latte parzialmente scremato e burro);Mashed potatoes, prepared (with partially skimmed milk and butter);14;90;3;1,5;1,7;2,2;4,7;58;1,4;https://upload.wikimedia.org/wikipedia/commons/6/62/Danish_combat_ration.jpg
Kartoffelstock, zubereitet (mit Vollmilch und Butter);Purée de pommes de terre, préparée (avec du lait entier et du beurre);Purea di patate, preparata (con latte intero e burro);Mashed potatoes, prepared (with full fat milk and butter);14;95;3;1,6;1,7;2,2;4,8;58;1,4;https://upload.wikimedia.org/wikipedia/commons/5/50/Svi%C3%B0.jpg
Käse in Salzlake (Kuhmilch);Feta (lait de vache);Formaggio in salamoia (di latte di mucca);Feta, cow milk;1;265;21;12,4;0;17,5;0;1500;1,4;https://upload.wikimedia.org/wikipedia/commons/2/28/Feta_Cheese.jpg
Käse in Salzlake (Schaf- und Ziegenmilch);Feta (lait de brebis et chèvre);Formaggio in salamoia (di latte di pecora e capra);Feta, ewe-/goat milk;2;245;19;12,1;0;17;0;1300;0;https://c1.staticflickr.com/1/203/453973453_4c42167098_z.jpg?zz=1
Käsekuchen, gebacken (mit Blätterteig);Gateau au fromage, cuit au four (pâte feuilletée);Torta al formaggio, cotta nel forno (pasta sfoglia);Savoury cheese quiche, baked (with puff pastry);12;305;22;12,4;0,5;14,4;12;370;1,2;https://upload.wikimedia.org/wikipedia/commons/3/3b/Bacon%26egg_pie.jpg
Käsekuchen, gebacken (mit Kuchenteig);Gateau au fromage, cuit au four (pâte à gateau);Torta al formaggio, cotta nel forno (pasta per torta);Savoury cheese quiche, baked (with cake dough);15;295;19;10,7;0,6;14,9;12;380;1,2;https://upload.wikimedia.org/wikipedia/commons/1/14/Pumpkin_Pie.jpg
Käsereibutter;Beurre de fromagerie;Burro del caseificio;Butter, cheese dairy;1;750;83;49,5;0;0,4;0;10;0,5;https://upload.wikimedia.org/wikipedia/commons/0/0d/Butter_%26_Cheese_Production%2C_Sister%27s_Dairy%2C_Hancock_Shaker_Village.jpg
Käseschnitte, zubereitet;Croûte au fromage, préparée;Crostone al formaggio, preparato;Cheese bread slices, prepared;26;275;12;6,2;2,3;14,8;15;540;1;http://maxpixel.freegreatpicture.com/static/photo/1x/Snacks-Healthy-Foods-Meals-Cheese-Edible-Bread-258311.jpg
Kebab im Fladenbrot;Kebab en fougasse;Kebab in schiacciata;Kebab in pita bread;9;105;4;0,9;1;7,6;3,4;160;2,5;http://maxpixel.freegreatpicture.com/static/photo/1x/Pitta-Bread-Traditional-Food-Vegetarian-Falafel-1781656.jpg
Kefe, gedämpft (ohne Zugabe von Salz);Pois mange-tout, à la vapeur (sans adjonction de sel);Taccole, al vapore (senza aggiunta di sale);Sugar pea, steamed (without addition of salt);11;80;0;0;5,7;4,6;4,3;3,9;5,7;https://upload.wikimedia.org/wikipedia/en/0/0b/Hickory_smoked_barbecue_bacon.jpg
Kefe, roh;Pois mange-tout, cru;Taccole, crude;Sugar pea, raw;10;70;0;0;5;4;4;4;5;https://upload.wikimedia.org/wikipedia/commons/b/bc/Bolgiano%27s_1902_catalogue_%2816350003245%29.jpg
Ketchup;Ketchup;Ketchup;Ketchup;26;120;0;0,1;0,9;2;0,9;1120;24,8;https://upload.wikimedia.org/wikipedia/commons/6/69/Ketchup-01.jpg
Kichererbse, gekocht (ohne Zugabe von Fett und Salz);Pois chiche, cuit (sans adjonction de graisse ni de sel);Ceci, cotti (senza aggiunta di grassi e sale);Chickpea, cooked (without addition of fat and salt);18;135;2;0,2;6,2;7,4;0,2;3,2;1;https://upload.wikimedia.org/wikipedia/commons/7/7a/India_-_Varanasi_green_peas_-_2714.jpg
Kichererbse, getrocknet;Pois chiche, sec;Ceci, secchi;Chickpea, dried;44;330;5;0,6;15,5;18,6;0,6;8,6;2,4;https://upload.wikimedia.org/wikipedia/commons/6/6f/Soaked_and_dried_chickpeas.jpg
Kirsch;Eau-de-vie de cerises (Kirsch);Acquavite di ciliege (Kirsch);Spirits, Kirsch, Cherry Schnaps;0;245;0;0;0;0;0;0;0;https://upload.wikimedia.org/wikipedia/commons/b/be/Glass_of_whisky.jpg
Kirsche, gedünstet, abgetropft (ohne Zugabe von Zucker);Cerise, cuite,  égouttée (sans adjonction de sucre);Ciliegie, cotte, sgocciolate (senza aggiunta di zuccheri);Cherry, stewed, drained (without addition of sugar);18;90;1;0,1;2;1,5;1,2;3,4;17,6;https://upload.wikimedia.org/wikipedia/commons/8/8c/T%C3%B8rrfesk.jpg
Kirsche, roh;Cerise, crue;Ciliegie, crude;Cherry, raw;15;75;1;0,1;1,7;1,3;1;3;15,3;http://maxpixel.freegreatpicture.com/static/photo/1x/Ripe-Green-Red-Flavor-Cherry-Matina-Tomato-Raw-88136.jpg
Kirschenkuchen, gebacken (mit Blätterteig);Tarte aux cerises, cuite au four (pâte feuilletée);Torta di cilieghe, cotta nel forno (pasta sfoglia);Cherry pie, baked (with puff pastry);19;155;7;3,9;1,4;3;3,2;94;12;https://upload.wikimedia.org/wikipedia/commons/d/d7/Cherry_pie_lattice%2C_closeup%2C_July_2006.jpg
Kirschenkuchen, gebacken (mit Kuchenteig);Tarte aux cerises, cuite au four (pâte à gateau);Torta di cilieghe, cotta nel forno (pasta per torta);Cherry pie, baked (with cake dough);21;150;5;2,6;1,6;3,4;3,2;100;12;http://maxpixel.freegreatpicture.com/static/photo/1x/Cherries-Pastries-Sour-Cherries-Cake-Cherry-Pie-827462.jpg
Kiwi, roh;Kiwi, cru;Kiwi, crudo;Kiwi fruit, raw;10;55;1;0;2,5;1,1;1;4;9,8;https://cdn.pixabay.com/photo/2015/10/21/15/32/kiwi-fruit-999840_960_720.jpg
Knäckebrot, Vollkorn;Pain croustillant, au blé entier;Pane croccante integrale;Crispbread, wholemeal;62;330;2;0,2;10;10,4;41;590;0,8;https://cdn.pixabay.com/photo/2017/02/24/20/39/bread-2096325_960_720.jpg
Knäckebrot, Vollkorn mit Leinsamen;Pain croustillant, au blé entier, au grains de lin;Pane croccante integrale con semi di lino;Crispbread, wholemeal, with linseeds;56;340;5;0,5;12,9;11,8;42;600;0,8;
Knäckebrot, Vollkorn mit Sesam;Pain croustillant, au blé entier, au sésame;Pane croccante integrale con semi di sesamo;Crispbread, wholemeal, with sesame;57;355;7;0,9;10,1;11,3;42;590;1,2;https://cdn.pixabay.com/photo/2017/02/24/20/39/bread-2096325_960_720.jpg
Knoblauch, roh;Ail, cru;Aglio, crudo;Garlic, raw;25;140;1;0,1;3;7;2,7;10;2,4;https://cdn.pixabay.com/photo/2015/11/12/01/56/garlic-1039510_960_720.jpg
Knollensellerie, gedämpft (ohne Zugabe von Salz);Céleri-rave, à la vapeur (sans adjonction de sel);Sedano rapa, al vapore (senza aggiunta di sale);Celeriac, steamed;3;30;0;0;5,3;1,6;2,5;85;2;https://upload.wikimedia.org/wikipedia/commons/2/23/Vodka_Pan_Tadeusz.jpg
Knollensellerie, roh;Céleri-rave, cru;Sedano rapa, crudo;Celeriac, raw;2;30;0;0;5;1,5;2,5;100;1,9;http://maxpixel.freegreatpicture.com/static/photo/1x/Garlic-Fennel-Raw-Celeriac-Peppercorns-Vegetable-419825.jpg
Knöpflimehl;Farine à spätzli;Farina per knöpfli;Spätzle flour;71;350;1;0,2;3,8;12,4;4,2;2,7;0,1;http://maxpixel.freegreatpicture.com/static/photo/1x/Flour-Food-Dough-Spaetzle-Dough-Bowl-Knead-Egg-971762.jpg
